RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
ALP   ,FALPAP,FALP,1,13,Terminal,Bypass RCDB+,HDB,HEIDELBERG,C,# Terminal,# Terminal,,,4
ALP   ,FALPAP,FALP,1,12,Terminal,Sect. RDCB-,HDB,HEIDELBERG,C,# Terminal,# Terminal,,,5
ALP   ,L299S0,L299,1,5,Level Crossing,Up,HDB,HEIDELBERG,C,L299.FCP,299.FCP,,,12
ALP   ,L299S0,L299,1,4,Level Crossing,Down,HDB,HEIDELBERG,C,L299.FGNP,299.FGNP,,,13
ALP   ,L299S0,L299,1,3,Level Crossing,Power On,HDB,HEIDELBERG,C,#L299.BPOK,#L299.BPOK,,,14
ALP   ,L299S0,L299,1,2,Level Crossing,Down Too Long,HDB,HEIDELBERG,C,#L299.DTOP,#L299.DTOP,,,15
ALP   ,S285S0,S285,1,9,Auto Signal,Clear,HDB,HEIDELBERG,C,S285.RGP,285.RGP,,,8
ALP   ,S294S0,S294,1,8,Auto Signal,Clear,HDB,HEIDELBERG,C,S294.RGP,294.RGP,,,9
ALP   ,S299S0,S299,1,7,Auto Signal,Clear,HDB,HEIDELBERG,C,S299.RGP,299.RGP,,,10
ALP   ,S304S0,S304,1,6,Auto Signal,Clear,HDB,HEIDELBERG,C,S304.RGP,304.RGP,,,11
ALP   ,T277S0,T277,1,1,Track Circuit,Clear,HDB,HEIDELBERG,C,T277.TPK,277.TPK,,,16
ALP   ,T285S0,T285,1,0,Track Circuit,Clear,HDB,HEIDELBERG,C,T285.TPK,285.TPK,,,17
ALP   ,T293S0,T293,2,15,Track Circuit,Clear,HDB,HEIDELBERG,C,T293.TPK,293.TPK,,,18
ALP   ,T294S0,T294,2,14,Track Circuit,Clear,HDB,HEIDELBERG,C,T294.TPK,294.TPK,,,19
ALP   ,T298S0,T298,2,12,Track Circuit,Clear,HDB,HEIDELBERG,C,T298.TPK,298.TPK,,,21
ALP   ,T299S0,T299,2,13,Track Circuit,Clear,HDB,HEIDELBERG,C,T299.TPK,299.TPK,,,20
ALP   ,T300S0,T300,2,11,Track Circuit,Clear,HDB,HEIDELBERG,C,T300.TPK,300.TPK,,,22
ALP   ,T301S0,T301,2,9,Track Circuit,Clear,HDB,HEIDELBERG,C,T301.TPK,301.TPK,,,24
ALP   ,T304S0,T304,2,10,Track Circuit,Clear,HDB,HEIDELBERG,C,T304.TPK,304.TPK,,,23
